,,,,,,,,,,
,SherBLOCK Bill of Materials,,,,,,,,,
,,,,,,,,,,
,Materials,Bulk amount,Bulk cost,Amount,Cost,Supplier,Justification,,Parts of interest for future steps,Link
,Interactive elements,,,,,,,,Buttons to program temperature/ time,https://www.aliexpress.us/item/3256806078303106.html?src=google&gatewayAdapt=glo2usa
,Arduino Nano,2,$9.99,1,$5.00,LUIRSAY,Stores and executes the sherBLOCK code.,,Alternative temperature sensor,https://www.digikey.com/en/products/detail/dfrobot/DFR0198/7597054?gclsrc=aw.ds&gad_source=1&gad_campaignid=20232005509&gbraid=0AAAAADrbLljF2YW0XWwDy3Zij1-3mA1Jn&gclid=CjwKCAjwmozTBhAeEiwAkEGZztxuqAtKUd_FC1bNAjtsJJSap0-jNF8ExYmWeGZkE5KgN-0Gux6ynxoCIWMQAvD_BwE
,DS18B20 w/ adapter,2,$9.99,1,$5.00,DIYables,Registers heating block temperature.,,Alternative temperature sensor,https://www.dfrobot.com/product-1354.html
,12V Heating Plate PTC,4,$16.19,1,$4.05,MECCANIXITY,Heating of the heating block.,,M3 Cap to keep feet level,https://www.aftfasteners.com/protective-cap-for-m3-screws-1-pkg/?gad_source=1&gad_campaignid=17177751483&gbraid=0AAAAAD3qpHdQXi7RkkjV5F8L3eyQZx9zn&gclid=Cj0KCQjw4JbTBhCoARIsALWUaBuWgUS2FErv_rtzg7lBxpnsv83DJRmmbzPOyNg0Ll8HvwdtLGmMcoMaAgzIEALw_wcB
,OLED display ,1,$21.00,1,$21.00,AITRIP,Displays sherBLOCK information,,Stronger heater (non PTC),https://www.amazon.com/Bestol-Heating-consistant-Temperature-Thermostatic/dp/B07VBDT8NL/ref=sr_1_3?crid=1BW9YQB8JPMQQ&dib=eyJ2IjoiMSJ9.88Qdhw4itzlblsRCqAP-zwvGoqbYuTXVM-McOCETrIl4IOnaAkj9GxeDksly7JVUe4SNcmDVTAgAhJrcrZ64mRmQjukzzxETsXfYszu7NJ0flgWzQPzP88tpjLG0r8KAo342VdyuPe5NmI5NZUmEmWlvAWfOfRvZ_-PQf2qur1sy-8HtLyUaZpnqmyVNzy2s9yLbz3a8ht0V4Xb19QLmb_wbgxTuAf1Xk9p-aRmtgSg.7084PpqOA1B9LlHDW3Cvb1FKBblpdr5Ly0oikle82Vg&dib_tag=se&keywords=PTC+Heating+Element%2C+12V&qid=1790132666&sprefix=ptc+heating+element%2C+12v+%2Caps%2C154&sr=8-3#averageCustomerReviewsAnchor
,Heat block,1,$35.99,1,$35.99,ONiLAB,Holds and heats up 0.5 mL tubes. ,<-- Often in low stock,,
,Wiring,,,,,,,,,
,12V Power Adapter,1,$8.99,1,$8.99,COOLM,Provides 2A at 12V,,,
,Female Power Jack DC,5,$4.99,1,$1.00,DIYables,Connects internal components to the power source.,,,
,MOSFET IRF540N N-Channel,10,$7.99,1,$0.80,ALLECIN,Controls the power supply to the heating block.,,,
,Breadboard,3,$5.98,1,$2.00,ELEGOO,Boards for prototype assembly.,,,
,Jumper wires,1 pack,$8.99,14,$0.50,DIYables,Wires for the temporary board.,,,
,18 AWG Brown Stranded Tinned-Copper Hook-Up Wire 100 Feet,1 spool,$16.95,1 foot,$0.20,Jameco,Connects high-voltage components.,,,
,Buck converter,1,$6.99,1,$6.99,Seloky,Converts voltage to match the input needs of the components.,,,
,2 Screw Barrier Block terminal,1,$0.89,1,$0.89,Jameco,Connects multiple components to individual nodes.,,,
,3 way PCB terminal ,10,$7.99,1,$0.80,Meimom,Connects components to separate nodes.,,,
,220 Ohm resistors,100,$5.99,1,$0.06,EDGELEC,Regulates current to prevent damage to components,,,
,4.7k Ohm resistors,100,$5.99,1,$0.06,EDGELEC,Regulates current to prevent damage to components,,,
,100k Ohm resistors,100,$5.99,1,$0.06,EDGELEC,Regulates current to prevent damage to components,,,
,Screws,,,22,$10,,,,,
,Nuts,,,22,$1,,,,,
,Total cost:,,$180.89,,$93.39,,,,,
,,,,,,,,,,
,Tools and other associated costs,,,,,,,,,
,Soldering iron,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,ASA printing material,,$10.00,,,,,,,
